"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"09/06/2021","MTNGH","1.26","0.64","1.25","1.25","1.25","1.25","0","1.20","1.25","7,671,214.00","9,589,017.50"
"08/06/2021","MTNGH","1.26","0.64","1.25","1.25","1.25","1.25","0","1.20","1.25","5,039,367.00","6,297,378.75"
"04/06/2021","MTNGH","1.26","0.64","1.10","1.10","1.15","1.15","0.05","1.15","1.21","1,520,610.00","1,748,671.00"
"03/06/2021","MTNGH","1.26","0.64","1.10","1.10","1.10","1.10","0","1.10","","180,068.00","198,074.80"
"02/06/2021","MTNGH","1.26","0.64","1.00","1.00","1.10","1.10","0.1","1.10","","2,022,092.00","2,222,791.10"
"01/06/2021","MTNGH","1.26","0.64","1.00","1.00","1.00","1.00","0","1.00","","0.00","0.00"
"31/05/2021","MTNGH","1.26","0.64","1.00","1.00","1.00","1.00","0","1.00","","200.00","200.00"
"28/05/2021","MTNGH","1.26","0.64","1.00","1.00","1.00","1.00","0","1.00","","376,820.00","376,820.00"
"27/05/2021","MTNGH","1.26","0.64","1.00","1.00","1.00","1.00","0","","1.00","11,932.00","11,932.00"
"26/05/2021","MTNGH","1.26","0.64","1.00","1.00","1.00","1.00","0","","1.10","3,549,670.00","3,549,670.00"
"25/05/2021","MTNGH","1.26","0.64","1.00","1.00","1.00","1.00","0","","","5,639,552.00","5,637,662.09"
"24/05/2021","MTNGH","1.26","0.64","1.00","1.00","1.00","1.00","0","","1.00","1,340.00","1,340.00"
"21/05/2021","MTNGH","1.26","0.64","1.02","1.02","1.00","1.00","-0.02","","1.00","3,975,000.00","3,961,499.06"
"20/05/2021","MTNGH","1.26","0.64","1.06","1.06","1.00","1.02","-0.04","","1.00","2,597,992.00","2,639,755.55"
"19/05/2021","MTNGH","1.26","0.64","1.13","1.13","1.05","1.06","-0.07","","1.05","3,718,833.00","3,940,368.47"
"18/05/2021","MTNGH","1.26","0.64","1.14","1.14","1.12","1.13","-0.01","","1.12","794,110.00","896,904.39"
"17/05/2021","MTNGH","1.26","0.64","1.14","1.14","1.14","1.14","0","","1.13","741.00","839.13"
"14/05/2021","MTNGH","1.26","0.64","1.17","1.17","1.13","1.14","-0.03","","1.13","3,136,336.00","3,575,493.11"
"12/05/2021","MTNGH","1.26","0.64","1.19","1.19","1.17","1.17","-0.02","1.14","1.17","13,771.00","16,166.85"
"11/05/2021","MTNGH","1.26","0.64","1.24","1.24","1.18","1.19","-0.05","","1.18","695,957.00","829,933.15"
"10/05/2021","MTNGH","1.26","0.64","1.24","1.24","1.24","1.24","0","1.20","1.24","206,271.00","255,776.04"
"07/05/2021","MTNGH","1.26","0.64","1.26","1.26","1.24","1.24","-0.02","1.24","1.26","11,695,892.00","14,508,404.04"
"06/05/2021","MTNGH","1.26","0.64","1.25","1.25","1.26","1.26","0.01","1.27","1.30","30,044.00","37,695.00"
"05/05/2021","MTNGH","1.25","0.64","1.23","1.23","1.25","1.25","0.02","1.25","1.30","53,950.00","67,507.77"
"04/05/2021","MTNGH","1.23","0.64","1.14","1.14","1.25","1.23","0.09","1.14","","3,904,250.00","4,818,872.40"
"30/04/2021","MTNGH","1.14","0.64","1.04","1.04","1.14","1.14","0.1","1.14","","531,240.00","605,613.60"
"29/04/2021","MTNGH","1.04","0.64","1.04","1.04","1.04","1.04","0","1.06","1.14","2,000.00","2,080.00"
"28/04/2021","MTNGH","1.04","0.64","0.96","0.96","1.05","1.04","0.08","1.00","","805,550.00","840,421.00"
"27/04/2021","MTNGH","0.96","0.64","0.96","0.96","0.96","0.96","0","0.96","1.00","194,584.00","186,800.64"
